Embedded,Keptentry,creatorType,machineReadableDate,holdings,oclcNumber,mainTitle,firstName,secondName,isPrimary,publisherName,publicationPlace,GeographicRegion,Geographic,itemLanguage,physicalDescription,Author_1_FirstName,Author_1_SecondName,Author_1_Gender,Author_2_FirstName,Author_2_SecondName,Author_2_Gender,Author_3_FirstName,Author_3_SecondName,Author_3_Gender,Author_4_FirstName,Author_4_SecondName,GenderAuthor_4,Authorgenders,MajorityAuthorGender,FirstAuthorGender,Author_5_FirstName,Author_5_SecondName,Author_6_FirstName,Author_6_SecondName,Author_7_FirstName,Author_7_SecondName,Author_8_FirstName,Author_8_SecondName,Summary,NoSummary_coding,TB_Test,Typeofbook,Frame#1_Disempowerment,Frame#2_Poverty_poor,Frame#3_Women,Frame#4_SelfHelp,Frame#5_FinancialInclusion,Frame#6_Innovation,Frame#7_Organizationaltype,Frame#8_Money_Moneymanagement,Frame#9_MarketLed_Commercialization,Frame#10_Development_Sustainabledevelopment,Frame#11_Technology,Frame#12_Publicpolicy,Frame#13_ReligiousMicrofinance,Frame#14_Systemappraisal,Frame#15_Debt_Indebtedness,Frame#16_Interpersonalrelationships,Frame#17_Evaluation,Frame#18_Powerissues,Frame#19_Politicalaspirations,Frame#20_Ethics,Frame#21_Affects,Paperstoexclude,Tag,PublicationDate,HoldingRank25,HoldingRank10
 ,1,person,2008,1117,473529442,Economic development,Michael P.,Todaro,0,Pearson Addison Wesley,Boston,1,1,eng,"xxvii, 861 sider.",Michael P.,Todaro,M,Stephen C.,Smith,M, , , , , , ,3,1,1, , , , , , , , ,New to this Edition Current real-world and country specific examples The best and most recent data and tools for analytical thinking Extended coverage on the economics of microfinance New! Chapter 4 introduces the idea of economic development as self discovery New! Chapter 2 includes a new section on the origins of comparative development New! Chapter 5 now contains and introduction on chronic poverty. New! Chapter 12 and 13 have been joined to make the topic more understandable and the book more portable, ,HT,M,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0, ,0,2008,4.00,10
 ,1,person,2006,1098,218702492,Access for all : building inclusive financial systems : capturing 10 years of CGAP experience / Brigit Helms,Brigit,Helms,1,"Consultative Group to Assist the Poor, World Bank","Washington, DC",1,1,eng,"XII, 170 Seiten : Diagramme.",Brigit,Helms,F, , , , , , , , , ,2,2,2, , , , , , , , ,"Microfinance has proven to be an effective tool for reducing poverty and helping poor people to improve their lives. The challenge is to engage more types of distribution systems, more technologies and more talent to create financial systems. This title explains what this vision of microfinance means in practical, non-technical terms.", ,RE,RE,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, ,0,2006,    4.00,10
 ,1,person,2014,1097,931707610,Access to microfinance and financial training for innovative urban sustainability collective investments at the bottom of the pyramid segment in urban Kenya Emmanuel Musau Mutisya,Emmanuel Musau,Mutisya,1,Langaa Research & Publishing CIG,"Bamenda, Cameroon",7,25,eng,"XXIV, 245 Seiten Illustrationen, Diagramme, Karten",Emmanuel Musau,Mutisya,M, , , , , , , , , ,1,1,1, , , , , , , , ,"The Kenyan population is highly concentrated in urban centres, leading to increased social, economic and environmental strains, with a significant percentage of urban dwellers living in sprawling slums. Urban development is increasingly a major focus, especially in the fight against urban sustainability problems. There is little practical orientation in the academic literature for the growing gap between the rich and poor. Current literature is enormously concerned with resource use and environmental pressures, paying scant attention to the nexus between urban sustainability and empowerment of the urban poor. This book initiates debates on the segment of urban population often referred to as ""the bottom of the pyramid (BOP)"", by analysing the microfinance innovation following evaluation of the impacts of access to microfinance and financial training and the implications to urban sustainability in Kenya. The main conclusion reached is that microfinance has an instrumental role to play in promoting sustainable urban development as it supports social welfare improvement and increases the livelihood of participants, business development and urban sustainability to a certain extent, thereby empowering the urban poor in contributing to poverty alleviation.",1,CS,CS,0,1,0,0,1,1,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0, ,0,2014,    4.00,10
 ,1,person,2013,1092,864495045,Relative effectiveness of alternative microfinance-driven poverty alleviation programs in Bangladesh / by Tamgid Ahmed Chowdhury,Tamgid Ahmed,Chowdhury,1,Cambridge Scholars Publishing,"Newcastle upon Tyne, UK",2,2,eng,"xvi, 287 pages : illustrations ; 22 cm",Tamgid Ahmed,Chowdhury,M, , , , , , , , , ,1,1,1, , , , , , , , ,"In general, the effectiveness of microfinance-driven poverty-alleviation programs run by Government Organizations (GOs) and Non-Government Organizations (NGOs) in developing countries, such as Bangladesh, is assessed by repayment rates, the number of beneficiaries, the area coverage, the amount of loans disbursed, the cost of operations, profitabil", ,E,E,0,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,0,1,0,0, ,0,2013,    4.00,9
 ,1,person,2014,1091,886381778,Building together : case studies in participatory planning and community building / Roger Katan with Ronald Shiffman,Roger,Katan,1,New Village Press,New York,1,1,eng,"xviii, 301 pages ; 23 cm",Roger,Katan,M,Ron,Shiffman,M, , , , , , ,3,1,1, , , , , , , , ,"With case studies of neighborhood developments from North and South America, Europe, and Africa that span more than forty years, Building Together offers essential understanding of participatory, collaborative processes that support civil society and sustain democratic cultures. It includes large-scale urban projects such as Listening the City, which engaged more than five thousand New York citizens in the rebuilding effort after the 9/11 attacks on the World Trade Center, and smaller appropriate-technology architectural projects such as self-help assisted housing on Tumaco island at the southern tip of Colombia, South America. Although the cases in this book appear to be highly disparate, involving very different communities and contexts, they were all inspired by the same overarching goal--to help people, whatever their socioeconomic status, better understand the forces acting upon them and organize themselves to have a true say in the construction of their environments. Participatory planning, far from being a fashionable or politically correct form of practice, is probably the only approach that can achieve a community's goal for security, shelter, stability and human happiness. Roger Katan is a French American architect, artist, and educator, renowned as a proponent of the community-based design practices of participatory architecture and advocacy planning. He has been a university instructor, international consultant, lecturer, activist, and author on the subject.Ron Shiffman is the former director of the Pratt Center for Community Development, which he cofounded in 1964. He is currently a professor at Pratt's Graduate Center for Planning and the Environment", , ,CS,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0, ,0,2014,    4.00,9
 ,1,person,2015,1089,904942410,"BRAC, global policy language, and women in Bangladesh : transformation and manipulation / Manzurul Mannan",Manzurul,Mannan,1,State University of New York Press,Albany,1,1,eng,"xiii, 379 pages ; 24 cm",Manzurul,Mannan,M, , , , , , , , , ,1,1,1, , , , , , , , ,"Founded in 1972 and now the largest NGO in the world, BRAC has been lauded for its efforts aimed at lifting the poor, especially women, out of poverty. In BRAC, Global Policy Language, and Women in Bangladesh, Manzurul Mannan-while not denying the many positive accomplishments of BRAC-places the organization under a critical microscope. Drawing on his experience as a Bangladeshi native and BRAC insider, Mannan provides unique insights into not only BRAC's phenomenal growth and its role in diffusing western and development ideologies but also, more importantly, how target populations have been affected culturally and socially. He explains how ERAC has employed western ideas, theories, and philosophies of agency when engaging in development interventions in even the remotest villages, seeking to transform social structures, women's status, and the local polity. The resulting intermingling of exogenous perspectives with local knowledge leads to a degree of inconsistency and dissonance within BRAC's own operations, while generating opposition from local commoners and elites. Cautionary yet hopeful, the book advocates greater cultural sensitivity as a way to mitigate conflict between BRAC and the constituencies it serves", , ,CS,1,1,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,1,0,0,1, ,0,2015,    4.00,9
 ,1,person,2016,142,929862968,"Strategic approaches to successful crowdfunding / Djamchid Assadi, Burgundy School of Business, France",Djamchid,Assadi,0,"Business Science Reference, An Imprint of IGI Global",Hershey,1,1,eng,"xxxii, 378 pages ; 29 cm.",Djamchid,Assadi,M, , , , , , , , , ,1,1,1, , , , , , , , ,"""This book brings together a collection of research-based chapters relating to the use of the social web to raise funds and provide financial support for start-up companies, individual pursuits, and philanthropic endeavors""-- Provided by publisher", , ,HT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, ,0,2016,    2.00,4
 ,1,person,2016,137,1062202079,"Women, microfinance and the state in neo-liberal India / K. Kalpana",K.,Kalpana,1,Routledge India,New Delhi,4,7,eng,1 volume ; 22 cm,K.,Kalpana,F, , , , , , , , , ,2,2,2, , , , , , , , ,This book discusses women-oriented microfinance initiatives in India and their articulation vis-a-vis state developmentalism and contemporary neo-liberal capitalism. It examines how these initiatives encourage economically disadvantaged rural women to make claims upon state-provided microcredit., , ,CS,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0, ,0,2016,    2.00,4
 ,1,person,2003,74,231975464,The performance of subsidized microfinance organizations : BancoSol of Bolivia and the Grameen Bank of Bangladesh / Mark Schreiner,Mark,Schreiner,1,Mellen,"Lewiston, NY",1,1,eng,"viii, 283 Seiten : Diagramme.",Mark,Schreiner,M, , , , , , , , , ,1,1,1, , , , , , , , ,"AM  This study provides a framework for the evaluation of microfinance organizations, applied as an example to the two best-known microfinance organizations in the world, BancoSol of Bolivia and the Grameen Bank of Bangladesh. It shows how to adapt existing evaluation frameworks (for example, economic benefit-cost analysis) to the particular application of microfinance organizations. This is a major area of interest because microfinance is rapidly becoming the major development took in first-world/third-world development assistant.",1, ,CS,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,0,0, ,0,2003,    1.00,3
 ,1,person,2010,74,466359460,"Re-thinking economic development : the green revolution, agrarian structure and transformation in Bangladesh / Fujjita Koichi ; translated by Minako Sato",藤田幸一., ,1,Kyoto Univ. Press ; Trans Pacific Press,"Kyoto, Melbourne, Portland, Or.",6,11,eng,"xiv, 302 pages : illustrations, maps ; 24 cm.",藤田幸一., ,M, , , , , , , , , ,1,1,1, , , , , , , , ,"AM  This study investigates the impact of agrarian development programs on rural class structure in Bangladesh, and it highlights how the local administration of infrastructure affected the social stratification of villages. Re-thinking Economic Development shows how the so-called Green Revolution was conducive to the formation of the groundwater market and the emergence of the 'waterlords.' The book demonstrates the ways in which the failure of formal finance facilities contributed to the credit flow from the wealthy to the poor, with the transformation of the potato-marketing system and the structure of rural finance.",1, ,CS,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0, ,0,2010,    1.00,3
